Country or Area,ISIC Rev 3,Year,Measure,Value,Value Footnotes
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2010,Number of employees,11258,
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2009,Number of employees,12452,
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2008,Number of employees,13420,
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2007,Number of employees,8212,
Sri Lanka ,1520 Dairy products,2010,Number of employees,4001,
Sri Lanka ,1520 Dairy products,2009,Number of employees,4039,
Sri Lanka ,1520 Dairy products,2008,Number of employees,3996,
Sri Lanka ,1520 Dairy products,2007,Number of employees,4322,
Sri Lanka ,153 Grain mill products; starches; animal feeds,2010,Number of employees,4032,
Sri Lanka ,153 Grain mill products; starches; animal feeds,2009,Number of employees,2889,
Sri Lanka ,153 Grain mill products; starches; animal feeds,2008,Number of employees,6486,
Sri Lanka ,153 Grain mill products; starches; animal feeds,2007,Number of employees,4236,
Sri Lanka ,154 Other food products,2010,Number of employees,69195,
Sri Lanka ,154 Other food products,2009,Number of employees,71145,
Sri Lanka ,154 Other food products,2008,Number of employees,76825,
Sri Lanka ,154 Other food products,2007,Number of employees,82126,
Sri Lanka ,155 Beverages,2010,Number of employees,4732,
Sri Lanka ,155 Beverages,2009,Number of employees,5350,
Sri Lanka ,155 Beverages,2008,Number of employees,6071,
Sri Lanka ,155 Beverages,2007,Number of employees,3803,
Sri Lanka ,1600 Tobacco products,2010,Number of employees,2677,
Sri Lanka ,1600 Tobacco products,2009,Number of employees,3229,
Sri Lanka ,1600 Tobacco products,2008,Number of employees,3782,
Sri Lanka ,1600 Tobacco products,2007,Number of employees,3824,
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2010,Number of employees,14593,
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2009,Number of employees,15335,
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2008,Number of employees,16734,
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2007,Number of employees,9901,
Sri Lanka ,172 Other textiles,2010,Number of employees,5338,
Sri Lanka ,172 Other textiles,2009,Number of employees,6346,
Sri Lanka ,172 Other textiles,2008,Number of employees,7575,
