Country or Area,ISIC Rev 3,Year,Number of Employees,Industry_Category
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2010,11258,Food Industry
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2009,12452,Food Industry
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2008,13420,Food Industry
Sri Lanka ,"151 Processed meat,fish,fruit,vegetables,fats",2007,8212,Food Industry
Sri Lanka ,1520 Dairy products,2010,4001,Food Industry
Sri Lanka ,1520 Dairy products,2009,4039,Food Industry
Sri Lanka ,1520 Dairy products,2008,3996,Food Industry
Sri Lanka ,1520 Dairy products,2007,4322,Food Industry
Sri Lanka ,153 Grain mill products; starches; animal feeds,2010,4032,Food Industry
Sri Lanka ,153 Grain mill products; starches; animal feeds,2009,2889,Food Industry
Sri Lanka ,153 Grain mill products; starches; animal feeds,2008,6486,Food Industry
Sri Lanka ,153 Grain mill products; starches; animal feeds,2007,4236,Food Industry
Sri Lanka ,154 Other food products,2010,69195,Food Industry
Sri Lanka ,154 Other food products,2009,71145,Food Industry
Sri Lanka ,154 Other food products,2008,76825,Food Industry
Sri Lanka ,154 Other food products,2007,82126,Food Industry
Sri Lanka ,155 Beverages,2010,4732,Food Industry
Sri Lanka ,155 Beverages,2009,5350,Food Industry
Sri Lanka ,155 Beverages,2008,6071,Food Industry
Sri Lanka ,155 Beverages,2007,3803,Food Industry
Sri Lanka ,1600 Tobacco products,2010,2677,Food Industry
Sri Lanka ,1600 Tobacco products,2009,3229,Food Industry
Sri Lanka ,1600 Tobacco products,2008,3782,Food Industry
Sri Lanka ,1600 Tobacco products,2007,3824,Food Industry
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2010,14593,Textiles and Clothing
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2009,15335,Textiles and Clothing
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2008,16734,Textiles and Clothing
Sri Lanka ,"171 Spinning, weaving and finishing of textiles",2007,9901,Textiles and Clothing
Sri Lanka ,172 Other textiles,2010,5338,Textiles and Clothing
Sri Lanka ,172 Other textiles,2009,6346,Textiles and Clothing
Sri Lanka ,172 Other textiles,2008,7575,Textiles and Clothing
Sri Lanka ,172 Other textiles,2007,21253,Textiles and Clothing
Sri Lanka ,1730 Knitted and crocheted fabrics and articles,2010,15333,Textiles and Clothing
Sri Lanka ,1730 Knitted and crocheted fabrics and articles,2009,14751,Textiles and Clothing
Sri Lanka ,1730 Knitted and crocheted fabrics and articles,2008,19470,Textiles and Clothing
Sri Lanka ,1730 Knitted and crocheted fabrics and articles,2007,84943,Textiles and Clothing
Sri Lanka ,"1810 Wearing apparel, except fur apparel",2010,260308,Textiles and Clothing
Sri Lanka ,"1810 Wearing apparel, except fur apparel",2009,296540,Textiles and Clothing
Sri Lanka ,"1810 Wearing apparel, except fur apparel",2008,340103,Textiles and Clothing
Sri Lanka ,"1810 Wearing apparel, except fur apparel",2007,383254,Textiles and Clothing
Sri Lanka ,"191 Tanning, dressing and processing of leather",2010,1512,Textiles and Clothing
